NAME,YEAR,AUTHOR,MUSEUM,STYLE,AMOUNT,SEGURO_TOTAL
Memories Euphoria Dream 2504,1726,Claude Monet,Vatican Museums,Baroque,13281436,0.420467947
Colors Ocean Reflections 2245,1953,Pablo Picasso,The British Museum,Expressionism,6853150,0.452466886
Nature Whispers Rhythm 1918,1547,Jackson Pollock,Uffizi Gallery,Impressionism,7085710,0.476945982
Nature Colors Nature 2444,1771,Peter Paul Rubens,National Gallery,Renaissance,9464323,0.943289496
Awakening Tranquility Rhythm 2599,1548,Salvador Dali,Metropolitan Museum of Art,Abstract,4712026,0.20337766
Rhythm Sunset Whispers 1790,1697,Georgia O'Keeffe,Louvre Museum,Realism,3646526,0.385108171
Chaos Awakening Tranquility 2660,1949,Edouard Manet,Vatican Museums,Abstract,14013530,0.112794382
Reflections Awakening Serenity 1821,1665,Peter Paul Rubens,National Gallery,Renaissance,5061449,0.19738841
Awakening Journey Forest 2681,1685,Michelangelo Buonarroti,Louvre Museum,Expressionism,4770411,0.520173772
Whispers Time Abstract 1529,1663,Leonardo da Vinci,Museum of Modern Art,Realism,7848125,0.037761927
Abstract Awakening Tranquility 1911,1569,Vincent van Gogh,State Hermitage Museum,Minimalism,14063118,0.789685982
Awakening Beauty Light 1780,1725,Banksy,Vatican Museums,Impressionism,2738122,0.767686229
Dream Journey Time 2241,1624,Caravaggio,State Hermitage Museum,Expressionism,13697557,0.407025378
Beauty Time Balance 2416,1799,Pablo Picasso,Tate Modern,Romanticism,5086951,0.341458646
Chaos Beauty Nature 1770,1810,Leonardo da Vinci,Museum of Modern Art,Romanticism,8117428,0.476827864
Reflections Awakening Balance 1638,2004,Rembrandt van Rijn,Vatican Museums,Cubism,1487338,0.730638241
Colors Harmony Dream 2249,1837,Peter Paul Rubens,Metropolitan Museum of Art,Baroque,5890809,0.199156212
Nature Memories Memories 1592,1755,Jasper Johns,Louvre Museum,Expressionism,14114481,0.781472437
Forest Serenity Journey 2350,2019,Banksy,National Gallery,Realism,2737664,0.339487922
Balance Forest Light 2041,1749,Mark Rothko,Prado Museum,Cubism,9831878,0.669416459
Sunset Balance Dream 2655,1827,Jean-Michel Basquiat,Louvre Museum,Expressionism,6490167,0.417022594
Love Euphoria Light 2221,1889,Henri Matisse,The British Museum,Expressionism,2897909,0.032889399
Love Harmony Memories 1759,1577,Peter Paul Rubens,National Gallery,Baroque,1149600,0.285202818
Tranquility Memories Balance 2496,1600,Mark Rothko,The British Museum,Renaissance,8698367,0.021330685
Forest Tranquility Whispers 1852,1718,Caravaggio,The British Museum,Minimalism,8147272,0.517561235
Memories Euphoria Nature 2473,1968,Gustav Klimt,The British Museum,Cubism,1247896,0.81283941
Forest Chaos Passion 1751,1793,Edouard Manet,Vatican Museums,Renaissance,13487992,0.594896034
Reflections Fantasy Abstract 2177,1721,Claude Monet,Vatican Museums,Minimalism,13161900,0.042242261
Dream Nature Harmony 2088,1553,Alfred Sisley,Uffizi Gallery,Realism,3011082,0.448259927
Time Harmony Memories 1863,1948,Gustav Klimt,Museum of Modern Art,Expressionism,4976843,0.976184974
Euphoria Harmony Abstract 2436,1540,Frida Kahlo,Prado Museum,Romanticism,6985737,0.955140071
Chaos Passion Fantasy 1547,1834,Edouard Manet,Tate Modern,Romanticism,2924459,0.096453919
Serenity Nature Time 2402,1877,Jackson Pollock,Vatican Museums,Minimalism,2142434,0.230363595
Journey Awakening Forest 1997,1994,Edouard Manet,Tate Modern,Realism,6329175,0.165422046
Memories Memories Journey 1904,1978,Lucian Freud,State Hermitage Museum,Surrealism,11083304,0.570405164
Light Whispers Balance 2572,1724,Frida Kahlo,Tate Modern,Surrealism,7749739,0.162346183
Whispers Fantasy Abstract 2516,1530,Alfred Sisley,National Gallery,Realism,4609304,0.964660685
Love Beauty Nature 2586,1527,Vincent van Gogh,The British Museum,Abstract,8917193,0.585738842
Fantasy Serenity Nature 2366,1537,Lucian Freud,Uffizi Gallery,Impressionism,13282632,0.964452157
Beauty Whispers Balance 1691,1520,Peter Paul Rubens,State Hermitage Museum,Realism,10325219,0.519781665
Beauty Sunset Sunset 2373,1884,Diego Rivera,National Gallery,Expressionism,11738052,0.391087664
Tranquility Chaos Chaos 1846,1501,Peter Paul Rubens,National Gallery,Impressionism,13746575,0.524076001
Journey Rhythm Awakening 2202,1531,Michelangelo Buonarroti,Prado Museum,Impressionism,6338245,0.878817892
Time Nature Love 2563,1695,Georgia O'Keeffe,The British Museum,Surrealism,6295156,0.032728821
Journey Passion Awakening 1869,1803,Andy Warhol,State Hermitage Museum,Romanticism,9888135,0.034919572
Journey Rhythm Passion 2188,1837,Claude Monet,Tate Modern,Impressionism,5231553,0.287945165
Time Sunset Nature 1833,1899,Edvard Munch,Metropolitan Museum of Art,Romanticism,5806273,0.444253634
Whispers Nature Beauty 2620,1532,Mark Rothko,Uffizi Gallery,Surrealism,4246693,0.97182864
Colors Whispers Reflections 1794,1757,Frida Kahlo,State Hermitage Museum,Expressionism,5336760,0.872221112
Fantasy Ocean Love 1640,1785,Edouard Manet,Vatican Museums,Realism,1795437,0.022497576
Colors Colors Light 1777,1995,Mark Rothko,National Gallery,Impressionism,3983982,0.386548727
Fantasy Ocean Reflections 2430,1685,Georgia O'Keeffe,National Gallery,Renaissance,5614113,0.204094799
Nature Reflections Passion 1887,1677,Diego Rivera,Metropolitan Museum of Art,Cubism,9748475,0.646112518
Fantasy Ocean Tranquility 1919,1697,Caravaggio,The British Museum,Expressionism,9742057,0.774462939
Ocean Tranquility Love 2130,1733,Paul Cezanne,Louvre Museum,Impressionism,5935948,0.149225347
Memories Serenity Love 2223,1740,Paul Cezanne,Vatican Museums,Baroque,13390289,0.158498077
Forest Whispers Rhythm 2485,1504,Georgia O'Keeffe,State Hermitage Museum,Baroque,3992888,0.693809275
Passion Journey Tranquility 2309,1646,Andy Warhol,Vatican Museums,Baroque,13617213,0.289379688
Abstract Abstract Sunset 2014,1916,Jasper Johns,Vatican Museums,Baroque,2668796,0.482887373
Time Love Harmony 2469,1814,Jasper Johns,The British Museum,Cubism,3666140,0.432338148
Fantasy Beauty Passion 2524,1804,Edvard Munch,Uffizi Gallery,Minimalism,3952800,0.15176023
Ocean Whispers Fantasy 2657,1698,Pablo Picasso,National Gallery,Impressionism,5577318,0.895575265
Light Tranquility Chaos 2202,1841,Lucian Freud,Tate Modern,Minimalism,14028340,0.627028029
Forest Forest Passion 2055,1559,Vincent van Gogh,Louvre Museum,Renaissance,13276604,0.27886729
Ocean Balance Whispers 2180,1599,Gustav Klimt,Prado Museum,Realism,4291491,0.557357848
Journey Beauty Tranquility 2397,1625,Diego Rivera,Uffizi Gallery,Impressionism,3147268,0.526523822
Time Awakening Sunset 2170,2014,Claude Monet,Tate Modern,Realism,5291191,0.8612638
Beauty Abstract Serenity 1969,1882,Diego Rivera,Vatican Museums,Cubism,2101077,0.260697909
Nature Journey Time 2360,1698,Edouard Manet,Metropolitan Museum of Art,Cubism,10300278,0.498539388
Balance Euphoria Journey 2367,1712,Jackson Pollock,The British Museum,Baroque,8315159,0.552515514
Beauty Nature Reflections 1740,1794,Caravaggio,Vatican Museums,Expressionism,2346752,0.862780309
Sunset Memories Fantasy 2574,1849,Henri Matisse,Museum of Modern Art,Realism,1390730,0.40749738
Memories Ocean Fantasy 1694,1859,Paul Cezanne,State Hermitage Museum,Abstract,10923948,0.614567265
Serenity Abstract Euphoria 2276,1861,Michelangelo Buonarroti,Metropolitan Museum of Art,Minimalism,14538905,0.747787646
Whispers Abstract Time 2225,1624,Alfred Sisley,Vatican Museums,Realism,2259522,0.538934624
Dream Forest Rhythm 1500,1994,Jean-Michel Basquiat,Metropolitan Museum of Art,Impressionism,3991877,0.988554417
Harmony Reflections Ocean 1777,1956,Edvard Munch,Prado Museum,Abstract,12064937,0.882923526
Serenity Forest Sunset 2218,1955,Lucian Freud,Prado Museum,Minimalism,3943142,0.479001254
Passion Sunset Reflections 1580,1900,Jackson Pollock,State Hermitage Museum,Expressionism,14594453,0.420388428
Awakening Rhythm Serenity 1943,1751,Gustav Klimt,Louvre Museum,Renaissance,5506799,0.412292397
Colors Chaos Reflections 1966,1538,Jackson Pollock,Prado Museum,Cubism,6526403,0.576743866
Whispers Dream Love 2408,1746,Georgia O'Keeffe,Uffizi Gallery,Cubism,2016988,0.779283616
Whispers Whispers Forest 2249,1863,Pablo Picasso,Louvre Museum,Minimalism,7307356,0.889906264
Abstract Fantasy Colors 2311,1775,Pablo Picasso,Metropolitan Museum of Art,Renaissance,5511344,0.466019267
Harmony Dream Nature 2465,1651,Diego Rivera,Museum of Modern Art,Surrealism,3630368,0.902886843
Journey Balance Balance 1900,1821,Jasper Johns,Tate Modern,Realism,10922846,0.227950896
Harmony Balance Fantasy 2074,1654,Diego Rivera,Museum of Modern Art,Minimalism,6860882,0.478753745
Beauty Light Colors 2142,1774,Banksy,Museum of Modern Art,Surrealism,11384136,0.720628367
Beauty Memories Awakening 1504,1911,Michelangelo Buonarroti,Uffizi Gallery,Impressionism,14479093,0.839088506
Serenity Light Passion 1653,1919,Edouard Manet,State Hermitage Museum,Expressionism,3669261,0.3305468
Awakening Awakening Time 2652,1517,Gustav Klimt,Louvre Museum,Impressionism,9238163,0.25478609
Balance Memories Light 1675,1714,Henri Matisse,Metropolitan Museum of Art,Surrealism,10418789,0.422053039
Memories Dream Reflections 1678,1641,Andy Warhol,Metropolitan Museum of Art,Impressionism,13980356,0.365731912
Serenity Forest Time 1969,1892,Jasper Johns,Vatican Museums,Minimalism,12290648,0.332805308
Serenity Time Chaos 2497,1619,Jackson Pollock,The British Museum,Abstract,7566254,0.870657183
Nature Love Whispers 2377,1937,Leonardo da Vinci,Vatican Museums,Realism,11283758,0.770753445
Ocean Memories Tranquility 2115,1521,Vincent van Gogh,Tate Modern,Realism,12289893,0.517842804
Colors Ocean Serenity 1972,1812,Edouard Manet,Museum of Modern Art,Expressionism,7190305,0.753235407
Memories Time Euphoria 1526,1913,Vincent van Gogh,Metropolitan Museum of Art,Impressionism,14401513,0.614911411
Light Journey Dream 2197,1735,Vincent van Gogh,Metropolitan Museum of Art,Expressionism,1719472,0.570181658
Beauty Time Forest 2416,1642,Diego Rivera,Prado Museum,Surrealism,12946170,0.455994694
Serenity Rhythm Colors 2020,1634,Michelangelo Buonarroti,Louvre Museum,Impressionism,2334259,0.317394106
Fantasy Balance Dream 1898,1681,Salvador Dali,Museum of Modern Art,Impressionism,3799985,0.465500678
Rhythm Awakening Euphoria 2108,1651,Gustav Klimt,National Gallery,Baroque,7209309,0.615035734
Serenity Awakening Nature 2516,1643,Edouard Manet,Museum of Modern Art,Romanticism,14199096,0.810321206
Awakening Reflections Whispers 1752,1619,Mark Rothko,Tate Modern,Expressionism,7865202,0.98886347
Forest Harmony Fantasy 1684,1751,Diego Rivera,State Hermitage Museum,Abstract,1630991,0.928644523
Beauty Reflections Awakening 1904,1513,Jasper Johns,Museum of Modern Art,Surrealism,9826375,0.030133378
Chaos Sunset Abstract 1756,1730,Peter Paul Rubens,Prado Museum,Renaissance,7098483,0.852722374
Journey Fantasy Rhythm 1570,1507,Lucian Freud,The British Museum,Minimalism,14177266,0.745702564
Fantasy Passion Balance 2475,1835,Peter Paul Rubens,State Hermitage Museum,Romanticism,14871160,0.816528844
Colors Nature Passion 2052,1879,Jean-Michel Basquiat,Louvre Museum,Impressionism,6171082,0.250975603
Forest Whispers Light 1512,1733,Caravaggio,National Gallery,Baroque,11308831,0.020289559
Colors Fantasy Balance 1697,1702,Georgia O'Keeffe,Museum of Modern Art,Minimalism,5674140,0.589057727
Whispers Memories Harmony 2188,1544,Gustav Klimt,Metropolitan Museum of Art,Renaissance,6577242,0.857525641
Journey Balance Passion 1548,1957,Jean-Michel Basquiat,Vatican Museums,Realism,8856917,0.396438224
Sunset Chaos Nature 1818,1981,Jasper Johns,Museum of Modern Art,Realism,13745356,0.36047858
Chaos Colors Fantasy 1655,1863,Peter Paul Rubens,National Gallery,Impressionism,8008342,0.133475685
Light Abstract Nature 2515,1738,Gustav Klimt,State Hermitage Museum,Surrealism,11924978,0.528891885
Nature Fantasy Journey 2046,1518,Mark Rothko,Metropolitan Museum of Art,Abstract,12945170,0.08149123
Chaos Chaos Love 2141,1944,Jasper Johns,State Hermitage Museum,Expressionism,13439182,0.770574471
Ocean Memories Light 1891,1787,Jean-Michel Basquiat,Uffizi Gallery,Renaissance,8707331,0.997155654
Colors Colors Abstract 1719,1906,Pablo Picasso,The British Museum,Renaissance,3494150,0.555307362
Passion Memories Reflections 2261,1941,Rembrandt van Rijn,Uffizi Gallery,Impressionism,11652598,0.234332753
Colors Ocean Serenity 1839,1521,Jackson Pollock,Vatican Museums,Baroque,2512990,0.720605642
Time Ocean Fantasy 2579,1545,Michelangelo Buonarroti,The British Museum,Minimalism,10030094,0.222277135
Forest Chaos Balance 2372,1811,Henri Matisse,Metropolitan Museum of Art,Impressionism,2555947,0.350803467
Light Passion Love 2180,1690,Jasper Johns,Tate Modern,Minimalism,8945016,0.170569072
Dream Fantasy Chaos 1514,1919,Claude Monet,National Gallery,Abstract,7407118,0.047428781
Abstract Chaos Beauty 2307,1702,Paul Cezanne,Metropolitan Museum of Art,Minimalism,5841612,0.51554199
Memories Nature Light 2503,1839,Jackson Pollock,Museum of Modern Art,Baroque,6571460,0.858498746
Balance Colors Euphoria 2192,1700,Claude Monet,State Hermitage Museum,Cubism,13071488,0.36784671
Sunset Sunset Tranquility 2621,1664,Leonardo da Vinci,Museum of Modern Art,Surrealism,3807617,0.574088035
Time Colors Time 2080,1932,Salvador Dali,Uffizi Gallery,Romanticism,11077909,0.023306738
Dream Awakening Awakening 2488,1732,Jean-Michel Basquiat,Tate Modern,Baroque,3258209,0.643399309
Ocean Fantasy Balance 2109,1885,Vincent van Gogh,Louvre Museum,Minimalism,2037718,0.280151734
Harmony Sunset Sunset 1506,1660,Alfred Sisley,Vatican Museums,Impressionism,6782448,0.159553929
Balance Journey Whispers 2534,1571,Paul Cezanne,State Hermitage Museum,Abstract,4282675,0.015964454
Love Time Tranquility 1753,1638,Georgia O'Keeffe,Vatican Museums,Expressionism,9890113,0.196822595
Whispers Balance Journey 2230,1608,Frida Kahlo,Tate Modern,Realism,11435629,0.440747674
Beauty Balance Forest 2102,1546,Jean-Michel Basquiat,Museum of Modern Art,Surrealism,4625207,0.035587784
Forest Beauty Memories 2257,1914,Michelangelo Buonarroti,Prado Museum,Baroque,14076473,0.424800363
Abstract Rhythm Ocean 1633,1710,Michelangelo Buonarroti,Tate Modern,Surrealism,3790394,0.508877356
Colors Chaos Time 1844,1895,Diego Rivera,Louvre Museum,Cubism,11668236,0.741723008
Rhythm Harmony Beauty 1977,1628,Henri Matisse,Prado Museum,Impressionism,2728183,0.726560487
Journey Colors Sunset 1874,1967,Edvard Munch,Metropolitan Museum of Art,Minimalism,9093309,0.462627995
Journey Love Time 2208,1748,Andy Warhol,Museum of Modern Art,Expressionism,4742159,0.297919361
Dream Euphoria Passion 2240,1658,Salvador Dali,Tate Modern,Abstract,11354183,0.919469393
Time Abstract Dream 1982,1985,Jackson Pollock,National Gallery,Surrealism,6739371,0.324961001
Fantasy Forest Ocean 1645,1885,Caravaggio,State Hermitage Museum,Renaissance,4254011,0.75536347
Chaos Light Nature 2542,1841,Salvador Dali,Louvre Museum,Surrealism,5992177,0.328741258
Reflections Reflections Chaos 2139,1614,Henri Matisse,Tate Modern,Cubism,11161315,0.744341138
Awakening Beauty Balance 2176,1702,Paul Cezanne,Metropolitan Museum of Art,Renaissance,5743162,0.386433994
Forest Balance Rhythm 2338,1797,Rembrandt van Rijn,Tate Modern,Impressionism,1716440,0.486151295
Reflections Harmony Euphoria 1746,1875,Caravaggio,Tate Modern,Surrealism,8345723,0.818230223
Tranquility Forest Forest 2596,1696,Salvador Dali,State Hermitage Museum,Expressionism,13734765,0.411663959
Balance Awakening Abstract 1966,1757,Edouard Manet,Prado Museum,Cubism,14416038,0.758826023
Dream Abstract Forest 2609,1672,Alfred Sisley,Vatican Museums,Expressionism,9444254,0.529240812
Whispers Time Abstract 2573,1685,Mark Rothko,Uffizi Gallery,Romanticism,2147338,0.831081313
Forest Sunset Euphoria 1661,1513,Salvador Dali,Metropolitan Museum of Art,Cubism,9142295,0.377472355
Dream Nature Abstract 2687,1836,Claude Monet,The British Museum,Renaissance,14771866,0.171371109
